block,sample,reps,order,trt,success
A,49,11,1,2,0.2
A,47,9,2,2,0.1
A,256,28,3,7,0
A,184,32,4,5,0.1
A,91,15,5,3,0.3
A,148,34,6,4,0
A,95,19,7,3,0.2
A,293,27,8,8,0
A,51,13,9,2,0.3
A,21,21,10,1,0
A,232,4,11,7,0.1
A,60,22,12,2,0.2
A,205,15,13,6,0
A,110,34,14,3,0.1
A,302,36,15,8,0
A,139,25,16,4,0
A,143,29,17,4,0.2
A,99,23,18,3,0.1
A,23,23,19,1,0.1
A,19,19,20,1,0.3
A,243,15,21,7,0.1
A,53,15,22,2,0.5
A,28,28,23,1,0.3
A,283,17,24,8,0
A,79,3,25,3,0.2
A,267,1,26,8,0
A,141,27,27,4,0
A,52,14,28,2,0.4
A,179,27,29,5,0.4
A,246,18,30,7,0
A,112,36,31,3,0.3
A,257,29,32,7,0
A,131,17,33,4,0
A,292,26,34,8,0
A,175,23,35,5,0.4
A,186,34,36,5,0.4
A,41,3,37,2,0.6
A,251,23,38,7,0.1
A,12,12,39,1,0
A,145,31,40,4,0
A,260,32,41,7,0
A,142,28,42,4,0.1
A,202,12,43,6,0.2
A,203,13,44,6,0.2
A,118,4,45,4,0.1
A,13,13,46,1,0.1
A,233,5,47,7,0
A,83,7,48,3,0.1
A,3,3,49,1,0.3
A,187,35,50,5,0
A,70,32,51,2,0.4
A,76,38,52,2,0.5
A,15,15,53,1,0
A,55,17,54,2,0.5
A,22,22,55,1,0.1
A,180,28,56,5,0.2
A,276,10,57,8,0
A,248,20,58,7,0
A,253,25,59,7,0.2
A,163,11,60,5,0.4
A,1,1,61,1,0
A,125,11,62,4,0.1
A,178,26,63,5,0.3
A,6,6,64,1,0.1
A,286,20,65,8,0
A,147,33,66,4,0
A,109,33,67,3,0.1
A,207,17,68,6,0.2
A,238,10,69,7,0.1
A,174,22,70,5,0.5
A,277,11,71,8,0.2
A,192,2,72,6,0
A,111,35,73,3,0.1
A,72,34,74,2,0.4
A,80,4,75,3,0.1
A,167,15,76,5,0.3
A,239,11,77,7,0.1
A,153,1,78,5,0.4
A,29,29,79,1,0.2
A,185,33,80,5,0.4
A,103,27,81,3,0.3
A,58,20,82,2,0.3
A,61,23,83,2,0.5
A,36,36,84,1,0.1
A,212,22,85,6,0
A,164,12,86,5,0.2
A,37,37,87,1,0.1
A,66,28,88,2,0.4
A,117,3,89,4,0
A,265,37,90,7,0
A,261,33,91,7,0
A,67,29,92,2,0.4
A,241,13,93,7,0
A,11,11,94,1,0
A,217,27,95,6,0
A,121,7,96,4,0
A,158,6,97,5,0.2
A,107,31,98,3,0.1
A,97,21,99,3,0.2
A,193,3,100,6,0
A,156,4,101,5,0.7
A,35,35,102,1,0.3
A,262,34,103,7,0.1
A,137,23,104,4,0.1
A,64,26,105,2,0.3
A,31,31,106,1,0
A,189,37,107,5,0.3
A,134,20,108,4,0.1
A,74,36,109,2,0.5
A,266,38,110,7,0.1
A,144,30,111,4,0.1
A,157,5,112,5,0.1
A,92,16,113,3,0.2
A,222,32,114,6,0.3
A,161,9,115,5,0.2
A,216,26,116,6,0.2
A,14,14,117,1,0
A,196,6,118,6,0.4
A,254,26,119,7,0
A,284,18,120,8,0.1
A,123,9,121,4,0.1
A,42,4,122,2,0.4
A,169,17,123,5,0.1
A,171,19,124,5,0.1
A,182,30,125,5,0.2
A,255,27,126,7,0.1
A,159,7,127,5,0.3
A,208,18,128,6,0
A,101,25,129,3,0.3
A,200,10,130,6,0.1
A,152,38,131,4,0
A,105,29,132,3,0.2
A,224,34,133,6,0
A,278,12,134,8,0
A,197,7,135,6,0.4
A,130,16,136,4,0
A,201,11,137,6,0.2
A,204,14,138,6,0.2
A,220,30,139,6,0.2
A,100,24,140,3,0.2
A,25,25,141,1,0.1
A,242,14,142,7,0
A,263,35,143,7,0.1
A,177,25,144,5,0.2
A,269,3,145,8,0.1
A,211,21,146,6,0.3
A,119,5,147,4,0.1
A,150,36,148,4,0
A,17,17,149,1,0.2
A,279,13,150,8,0
A,295,29,151,8,0
A,219,29,152,6,0.1
A,68,30,153,2,0.4
A,172,20,154,5,0.5
A,190,38,155,5,0.2
A,287,21,156,8,0
A,136,22,157,4,0
A,245,17,158,7,0
A,304,38,159,8,0
A,65,27,160,2,0.5
A,87,11,161,3,0.3
A,40,2,162,2,0.3
A,210,20,163,6,0.1
A,73,35,164,2,0.4
A,114,38,165,3,0.1
A,250,22,166,7,0.1
A,155,3,167,5,0.3
A,89,13,168,3,0.3
A,140,26,169,4,0.1
A,88,12,170,3,0.3
A,78,2,171,3,0.2
A,128,14,172,4,0
A,173,21,173,5,0.3
A,146,32,174,4,0.1
A,46,8,175,2,0.4
A,289,23,176,8,0
A,8,8,177,1,0.3
A,237,9,178,7,0
A,48,10,179,2,0.3
A,94,18,180,3,0.3
A,235,7,181,7,0
A,280,14,182,8,0.1
A,168,16,183,5,0.2
A,194,4,184,6,0.1
A,129,15,185,4,0.1
A,214,24,186,6,0.3
A,39,1,187,2,0.6
A,300,34,188,8,0
A,188,36,189,5,0.2
A,236,8,190,7,0.2
A,132,18,191,4,0
A,9,9,192,1,0.3
A,104,28,193,3,0.3
A,209,19,194,6,0.2
A,102,26,195,3,0.2
A,44,6,196,2,0.3
A,270,4,197,8,0
A,244,16,198,7,0.2
A,26,26,199,1,0.1
A,273,7,200,8,0
A,27,27,201,1,0
A,24,24,202,1,0
A,126,12,203,4,0
A,274,8,204,8,0
A,59,21,205,2,0.3
A,33,33,206,1,0.2
A,223,33,207,6,0.2
A,96,20,208,3,0.1
A,215,25,209,6,0.1
A,108,32,210,3,0
A,191,1,211,6,0.1
A,56,18,212,2,0.1
A,138,24,213,4,0
A,133,19,214,4,0
A,218,28,215,6,0.1
A,181,29,216,5,0.1
A,135,21,217,4,0
A,162,10,218,5,0.1
A,116,2,219,4,0.1
A,32,32,220,1,0.1
A,115,1,221,4,0
A,291,25,222,8,0
A,160,8,223,5,0.3
A,170,18,224,5,0.3
A,275,9,225,8,0
A,16,16,226,1,0
A,82,6,227,3,0.2
A,234,6,228,7,0.1
A,264,36,229,7,0
A,93,17,230,3,0.5
A,7,7,231,1,0
A,297,31,232,8,0
A,4,4,233,1,0
A,81,5,234,3,0
A,30,30,235,1,0.1
A,226,36,236,6,0
A,84,8,237,3,0
A,18,18,238,1,0.1
A,38,38,239,1,0.2
A,225,35,240,6,0
A,298,32,241,8,0
A,120,6,242,4,0.1
A,45,7,243,2,0.3
A,272,6,244,8,0
A,62,24,245,2,0.4
A,54,16,246,2,0.2
A,69,31,247,2,0
A,249,21,248,7,0
A,229,1,249,7,0
A,43,5,250,2,0.4
A,20,20,251,1,0.1
A,198,8,252,6,0.1
A,299,33,253,8,0
A,86,10,254,3,0.1
A,303,37,255,8,0
A,228,38,256,6,0.1
A,149,35,257,4,0
A,50,12,258,2,0.2
A,221,31,259,6,0.2
A,90,14,260,3,0.1
A,301,35,261,8,0
A,151,37,262,4,0
A,258,30,263,7,0.2
A,2,2,264,1,0.1
A,271,5,265,8,0
A,247,19,266,7,0.1
A,285,19,267,8,0
A,85,9,268,3,0
A,296,30,269,8,0
A,213,23,270,6,0
A,227,37,271,6,0
A,98,22,272,3,0.1
A,75,37,273,2,0.4
A,63,25,274,2,0.3
A,259,31,275,7,0.1
A,10,10,276,1,0
A,199,9,277,6,0
A,231,3,278,7,0
A,290,24,279,8,0
A,122,8,280,4,0
A,240,12,281,7,0.1
A,165,13,282,5,0
A,124,10,283,4,0
A,57,19,284,2,0.3
A,154,2,285,5,0.2
A,71,33,286,2,0.3
A,195,5,287,6,0.1
A,230,2,288,7,0
A,77,1,289,3,0.1
A,127,13,290,4,0
A,5,5,291,1,0.1
A,281,15,292,8,0
A,282,16,293,8,0.1
A,106,30,294,3,0
A,34,34,295,1,0
A,176,24,296,5,0.2
A,113,37,297,3,0.2
A,166,14,298,5,0.1
A,288,22,299,8,0
A,183,31,300,5,0.3
A,294,28,301,8,0
A,268,2,302,8,0
A,252,24,303,7,0.1
A,206,16,304,6,0
B,60,22,1,2,0.2
B,156,4,2,5,0
B,1,1,3,1,0.1
B,16,16,4,1,0.2
B,166,14,5,5,0.2
B,201,11,6,6,0
B,117,3,7,4,0
B,183,31,8,5,0.1
B,65,27,9,2,0.2
B,161,9,10,5,0
B,105,29,11,3,0.1
B,280,14,12,8,0
B,93,17,13,3,0
B,236,8,14,7,0
B,101,25,15,3,0
B,181,29,16,5,0.1
B,222,32,17,6,0
B,243,15,18,7,0
B,11,11,19,1,0
B,52,14,20,2,0.2
B,139,25,21,4,0
B,119,5,22,4,0
B,55,17,23,2,0.1
B,152,38,24,4,0.1
B,232,4,25,7,0
B,238,10,26,7,0
B,12,12,27,1,0
B,50,12,28,2,0.3
B,19,19,29,1,0.1
B,303,37,30,8,0
B,31,31,31,1,0.1
B,143,29,32,4,0.2
B,26,26,33,1,0.3
B,241,13,34,7,0
B,184,32,35,5,0.1
B,155,3,36,5,0.1
B,146,32,37,4,0
B,95,19,38,3,0
B,255,27,39,7,0.1
B,245,17,40,7,0
B,103,27,41,3,0.1
B,89,13,42,3,0
B,62,24,43,2,0.4
B,128,14,44,4,0
B,108,32,45,3,0
B,179,27,46,5,0.1
B,226,36,47,6,0
B,224,34,48,6,0
B,46,8,49,2,0.5
B,153,1,50,5,0.1
B,196,6,51,6,0
B,205,15,52,6,0
B,187,35,53,5,0.1
B,173,21,54,5,0
B,292,26,55,8,0.1
B,231,3,56,7,0
B,144,30,57,4,0
B,279,13,58,8,0
B,283,17,59,8,0
B,45,7,60,2,0.1
B,72,34,61,2,0.3
B,92,16,62,3,0.1
B,208,18,63,6,0
B,297,31,64,8,0
B,68,30,65,2,0.3
B,17,17,66,1,0.3
B,53,15,67,2,0.4
B,246,18,68,7,0
B,80,4,69,3,0.1
B,290,24,70,8,0
B,168,16,71,5,0.1
B,300,34,72,8,0
B,259,31,73,7,0
B,134,20,74,4,0
B,3,3,75,1,0.2
B,82,6,76,3,0.1
B,33,33,77,1,0.2
B,30,30,78,1,0.1
B,227,37,79,6,0
B,286,20,80,8,0
B,91,15,81,3,0
B,270,4,82,8,0.1
B,150,36,83,4,0
B,47,9,84,2,0.1
B,118,4,85,4,0
B,151,37,86,4,0.1
B,251,23,87,7,0
B,40,2,88,2,0.4
B,288,22,89,8,0
B,106,30,90,3,0.1
B,253,25,91,7,0
B,75,37,92,2,0.3
B,7,7,93,1,0.1
B,284,18,94,8,0
B,218,28,95,6,0
B,4,4,96,1,0
B,299,33,97,8,0
B,206,16,98,6,0
B,250,22,99,7,0
B,138,24,100,4,0.1
B,48,10,101,2,0.2
B,172,20,102,5,0.1
B,160,8,103,5,0.2
B,71,33,104,2,0.3
B,15,15,105,1,0.1
B,56,18,106,2,0.1
B,133,19,107,4,0
B,135,21,108,4,0
B,6,6,109,1,0.3
B,215,25,110,6,0
B,162,10,111,5,0.1
B,203,13,112,6,0
B,239,11,113,7,0.3
B,122,8,114,4,0
B,145,31,115,4,0
B,158,6,116,5,0.2
B,21,21,117,1,0.1
B,275,9,118,8,0
B,199,9,119,6,0
B,295,29,120,8,0
B,116,2,121,4,0
B,61,23,122,2,0.2
B,54,16,123,2,0.4
B,131,17,124,4,0
B,97,21,125,3,0.1
B,9,9,126,1,0.1
B,271,5,127,8,0
B,124,10,128,4,0
B,193,3,129,6,0.1
B,228,38,130,6,0
B,164,12,131,5,0.1
B,123,9,132,4,0
B,149,35,133,4,0
B,104,28,134,3,0
B,154,2,135,5,0.1
B,148,34,136,4,0
B,20,20,137,1,0
B,174,22,138,5,0.4
B,87,11,139,3,0.1
B,111,35,140,3,0.2
B,96,20,141,3,0
B,272,6,142,8,0
B,180,28,143,5,0.2
B,64,26,144,2,0.3
B,36,36,145,1,0.2
B,217,27,146,6,0
B,127,13,147,4,0
B,25,25,148,1,0.3
B,28,28,149,1,0.3
B,294,28,150,8,0
B,39,1,151,2,0.1
B,235,7,152,7,0
B,234,6,153,7,0
B,112,36,154,3,0
B,171,19,155,5,0.2
B,114,38,156,3,0.2
B,211,21,157,6,0.1
B,273,7,158,8,0
B,113,37,159,3,0.1
B,233,5,160,7,0
B,147,33,161,4,0
B,170,18,162,5,0.2
B,200,10,163,6,0
B,301,35,164,8,0
B,37,37,165,1,0.3
B,194,4,166,6,0.1
B,35,35,167,1,0.2
B,221,31,168,6,0
B,29,29,169,1,0.2
B,304,38,170,8,0
B,207,17,171,6,0
B,219,29,172,6,0
B,74,36,173,2,0
B,225,35,174,6,0
B,213,23,175,6,0
B,67,29,176,2,0.6
B,132,18,177,4,0
B,142,28,178,4,0
B,274,8,179,8,0
B,169,17,180,5,0.1
B,125,11,181,4,0
B,287,21,182,8,0
B,73,35,183,2,0.3
B,27,27,184,1,0.1
B,32,32,185,1,0.2
B,129,15,186,4,0
B,99,23,187,3,0.2
B,120,6,188,4,0
B,167,15,189,5,0
B,188,36,190,5,0.1
B,195,5,191,6,0
B,278,12,192,8,0
B,63,25,193,2,0.3
B,51,13,194,2,0.4
B,266,38,195,7,0
B,165,13,196,5,0.2
B,281,15,197,8,0
B,90,14,198,3,0.2
B,84,8,199,3,0.2
B,81,5,200,3,0.2
B,185,33,201,5,0.2
B,260,32,202,7,0
B,256,28,203,7,0.1
B,189,37,204,5,0.1
B,42,4,205,2,0.5
B,190,38,206,5,0.3
B,24,24,207,1,0.1
B,157,5,208,5,0.1
B,18,18,209,1,0.1
B,2,2,210,1,0.1
B,44,6,211,2,0.3
B,13,13,212,1,0.1
B,192,2,213,6,0
B,41,3,214,2,0.3
B,277,11,215,8,0
B,70,32,216,2,0.1
B,34,34,217,1,0
B,107,31,218,3,0
B,202,12,219,6,0
B,98,22,220,3,0.3
B,264,36,221,7,0
B,276,10,222,8,0
B,214,24,223,6,0
B,10,10,224,1,0
B,77,1,225,3,0.1
B,57,19,226,2,0.2
B,94,18,227,3,0.2
B,216,26,228,6,0
B,268,2,229,8,0
B,136,22,230,4,0
B,38,38,231,1,0.1
B,66,28,232,2,0.2
B,298,32,233,8,0
B,69,31,234,2,0.2
B,23,23,235,1,0.2
B,140,26,236,4,0
B,14,14,237,1,0.1
B,261,33,238,7,0
B,263,35,239,7,0
B,58,20,240,2,0.1
B,49,11,241,2,0.3
B,247,19,242,7,0
B,204,14,243,6,0
B,212,22,244,6,0
B,59,21,245,2,0.1
B,293,27,246,8,0
B,110,34,247,3,0.1
B,5,5,248,1,0
B,191,1,249,6,0
B,242,14,250,7,0
B,282,16,251,8,0
B,159,7,252,5,0.1
B,137,23,253,4,0
B,102,26,254,3,0.2
B,182,30,255,5,0.1
B,240,12,256,7,0
B,269,3,257,8,0
B,115,1,258,4,0
B,121,7,259,4,0
B,8,8,260,1,0
B,248,20,261,7,0.1
B,302,36,262,8,0
B,141,27,263,4,0
B,265,37,264,7,0.2
B,267,1,265,8,0
B,177,25,266,5,0
B,257,29,267,7,0
B,175,23,268,5,0.2
B,254,26,269,7,0
B,210,20,270,6,0
B,126,12,271,4,0
B,262,34,272,7,0
B,198,8,273,6,0
B,109,33,274,3,0.1
B,209,19,275,6,0
B,291,25,276,8,0
B,285,19,277,8,0.1
B,43,5,278,2,0.1
B,86,10,279,3,0
B,130,16,280,4,0
B,244,16,281,7,0
B,176,24,282,5,0.2
B,88,12,283,3,0.1
B,186,34,284,5,0.1
B,85,9,285,3,0.1
B,296,30,286,8,0
B,163,11,287,5,0
B,237,9,288,7,0
B,178,26,289,5,0.1
B,22,22,290,1,0.1
B,249,21,291,7,0
B,289,23,292,8,0
B,78,2,293,3,0
B,229,1,294,7,0
B,230,2,295,7,0
B,220,30,296,6,0
B,223,33,297,6,0
B,252,24,298,7,0.1
B,83,7,299,3,0
B,79,3,300,3,0.5
B,76,38,301,2,0.4
B,100,24,302,3,0.1
B,258,30,303,7,0
B,197,7,0,0,0
C,276,10,1,8,0
C,32,32,2,1,0.2
C,182,30,3,5,0
C,169,17,4,5,0.2
C,3,3,5,1,0.1
C,272,6,6,8,0
C,196,6,7,6,0
C,253,25,8,7,0.1
C,150,36,9,4,0
C,200,10,10,6,0.1
C,59,21,11,2,0.5
C,89,13,12,3,0.3
C,282,16,13,8,0
C,58,20,14,2,0.1
C,147,33,15,4,0
C,31,31,16,1,0.4
C,229,1,17,7,0
C,217,27,18,6,0
C,39,1,19,2,0.5
C,102,26,20,3,0.3
C,88,12,21,3,0.4
C,289,23,22,8,0
C,99,23,23,3,0.2
C,107,31,24,3,0.2
C,286,20,25,8,0
C,239,11,26,7,0
C,149,35,27,4,0
C,51,13,28,2,0.1
C,13,13,29,1,0.2
C,161,9,30,5,0.2
C,146,32,31,4,0
C,153,1,32,5,0
C,164,12,33,5,0.2
C,294,28,34,8,0
C,53,15,35,2,0.4
C,7,7,36,1,0.1
C,237,9,37,7,0
C,64,26,38,2,0.2
C,256,28,39,7,0.1
C,144,30,40,4,0
C,151,37,41,4,0
C,184,32,42,5,0
C,109,33,43,3,0.3
C,131,17,44,4,0
C,129,15,45,4,0
C,259,31,46,7,0
C,2,2,47,1,0.1
C,247,19,48,7,0.1
C,49,11,49,2,0.5
C,5,5,50,1,0.1
C,220,30,51,6,0
C,18,18,52,1,0.3
C,91,15,53,3,0.3
C,219,29,54,6,0
C,100,24,55,3,0.3
C,216,26,56,6,0
C,202,12,57,6,0.1
C,271,5,58,8,0.1
C,79,3,59,3,0
C,211,21,60,6,0
C,210,20,61,6,0
C,124,10,62,4,0.1
C,20,20,63,1,0.5
C,255,27,64,7,0
C,243,15,65,7,0.1
C,25,25,66,1,0
C,40,2,67,2,0.1
C,122,8,68,4,0
C,63,25,69,2,0.2
C,291,25,70,8,0
C,73,35,71,2,0.4
C,38,38,72,1,0.3
C,250,22,73,7,0
C,43,5,74,2,0.3
C,295,29,75,8,0.1
C,177,25,76,5,0.1
C,108,32,77,3,0.4
C,245,17,78,7,0
C,205,15,79,6,0
C,133,19,80,4,0.2
C,78,2,81,3,0.1
C,48,10,82,2,0.3
C,231,3,83,7,0.1
C,16,16,84,1,0.3
C,265,37,85,7,0
C,82,6,86,3,0.2
C,187,35,87,5,0.2
C,83,7,88,3,0.4
C,290,24,89,8,0
C,172,20,90,5,0.1
C,281,15,91,8,0.1
C,173,21,92,5,0.3
C,45,7,93,2,0.3
C,46,8,94,2,0.6
C,221,31,95,6,0
C,55,17,96,2,0.5
C,261,33,97,7,0.1
C,22,22,98,1,0.2
C,21,21,99,1,0.1
C,234,6,100,7,0.1
C,94,18,101,3,0.2
C,213,23,102,6,0
C,249,21,103,7,0
C,119,5,104,4,0
C,258,30,105,7,0
C,86,10,106,3,0.3
C,28,28,107,1,0.1
C,69,31,108,2,0.2
C,10,10,109,1,0.4
C,142,28,110,4,0
C,95,19,111,3,0.1
C,166,14,112,5,0.4
C,302,36,113,8,0
C,98,22,114,3,0.1
C,61,23,115,2,0.4
C,101,25,116,3,0.4
C,29,29,117,1,0.3
C,154,2,118,5,0.3
C,238,10,119,7,0.1
C,134,20,120,4,0
C,67,29,121,2,0.4
C,269,3,122,8,0
C,292,26,123,8,0
C,14,14,124,1,0.4
C,9,9,125,1,0.5
C,195,5,126,6,0
C,167,15,127,5,0.3
C,33,33,128,1,0.1
C,203,13,129,6,0
C,198,8,130,6,0
C,47,9,131,2,0.5
C,123,9,132,4,0
C,180,28,133,5,0.1
C,193,3,134,6,0.1
C,155,3,135,5,0.3
C,263,35,136,7,0
C,106,30,137,3,0.2
C,113,37,138,3,0.2
C,297,31,139,8,0
C,170,18,140,5,0.5
C,189,37,141,5,0.5
C,84,8,142,3,0.1
C,139,25,143,4,0
C,17,17,144,1,0.4
C,97,21,145,3,0.2
C,66,28,146,2,0.4
C,287,21,147,8,0
C,191,1,148,6,0.1
C,178,26,149,5,0.1
C,283,17,150,8,0
C,194,4,151,6,0
C,24,24,152,1,0.3
C,60,22,153,2,0.5
C,274,8,154,8,0
C,208,18,155,6,0
C,181,29,156,5,0.2
C,140,26,157,4,0
C,128,14,158,4,0
C,236,8,159,7,0
C,159,7,160,5,0.2
C,175,23,161,5,0.3
C,228,38,162,6,0
C,143,29,163,4,0
C,1,1,164,1,0.2
C,117,3,165,4,0
C,8,8,166,1,0.2
C,35,35,167,1,0.1
C,206,16,168,6,0
C,165,13,169,5,0.1
C,260,32,170,7,0.1
C,42,4,171,2,0.5
C,192,2,172,6,0
C,267,1,173,8,0
C,103,27,174,3,0.1
C,246,18,175,7,0
C,227,37,176,6,0
C,76,38,177,2,0.3
C,285,19,178,8,0
C,199,9,179,6,0.1
C,280,14,180,8,0
C,111,35,181,3,0.2
C,87,11,182,3,0
C,77,1,183,3,0.2
C,34,34,184,1,0.1
C,27,27,185,1,0.2
C,12,12,186,1,0.2
C,44,6,187,2,0.1
C,15,15,188,1,0.1
C,174,22,189,5,0.3
C,222,32,190,6,0
C,11,11,191,1,0.2
C,204,14,192,6,0
C,264,36,193,7,0
C,171,19,194,5,0.2
C,212,22,195,6,0
C,72,34,196,2,0.4
C,80,4,197,3,0.3
C,190,38,198,5,0.3
C,197,7,199,6,0.2
C,62,24,200,2,0.3
C,277,11,201,8,0
C,225,35,202,6,0
C,248,20,203,7,0.2
C,92,16,204,3,0.2
C,207,17,205,6,0
C,110,34,206,3,0
C,279,13,207,8,0
C,270,4,208,8,0.1
C,158,6,209,5,0.2
C,252,24,210,7,0
C,23,23,211,1,0.3
C,235,7,212,7,0
C,254,26,213,7,0
C,293,27,214,8,0
C,136,22,215,4,0
C,176,24,216,5,0.3
C,251,23,217,7,0
C,240,12,218,7,0
C,215,25,219,6,0
C,132,18,220,4,0
C,162,10,221,5,0.3
C,214,24,222,6,0
C,54,16,223,2,0.4
C,244,16,224,7,0.1
C,201,11,225,6,0.1
C,93,17,226,3,0
C,52,14,227,2,0.1
C,266,38,228,7,0
C,273,7,229,8,0
C,81,5,230,3,0
C,114,38,231,3,0.1
C,37,37,232,1,0.1
C,183,31,233,5,0.3
C,275,9,234,8,0
C,105,29,235,3,0
C,56,18,236,2,0.2
C,19,19,237,1,0.1
C,304,38,238,8,0
C,85,9,239,3,0
C,157,5,240,5,0.3
C,298,32,241,8,0
C,6,6,242,1,0.1
C,284,18,243,8,0
C,36,36,244,1,0.3
C,127,13,245,4,0.1
C,138,24,246,4,0.1
C,30,30,247,1,0.3
C,301,35,248,8,0
C,257,29,249,7,0
C,74,36,250,2,0.5
C,141,27,251,4,0
C,90,14,252,3,0
C,70,32,253,2,0.5
C,126,12,254,4,0
C,68,30,255,2,0.3
C,71,33,256,2,0.2
C,300,34,257,8,0
C,242,14,258,7,0
C,233,5,259,7,0
C,148,34,260,4,0
C,186,34,261,5,0.3
C,224,34,262,6,0.3
C,268,2,263,8,0
C,288,22,264,8,0
C,41,3,265,2,0.2
C,156,4,266,5,0.2
C,168,16,267,5,0.5
C,75,37,268,2,0.4
C,188,36,269,5,0.2
C,112,36,270,3,0.2
C,115,1,271,4,0
C,145,31,272,4,0
C,120,6,273,4,0
C,121,7,274,4,0
C,299,33,275,8,0
C,116,2,276,4,0
C,65,27,277,2,0.2
C,96,20,278,3,0.1
C,104,28,279,3,0.1
C,209,19,280,6,0.1
C,152,38,281,4,0
C,135,21,282,4,0
C,130,16,283,4,0
C,160,8,284,5,0.1
C,241,13,285,7,0.2
C,179,27,286,5,0.3
C,278,12,287,8,0
C,4,4,288,1,0
C,262,34,289,7,0
C,303,37,290,8,0
C,185,33,291,5,0.2
C,137,23,292,4,0.2
C,125,11,293,4,0.1
C,223,33,294,6,0
C,226,36,295,6,0
C,230,2,296,7,0.1
C,50,12,297,2,0.3
C,118,4,298,4,0.1
C,218,28,299,6,0
C,163,11,300,5,0.2
C,26,26,301,1,0.1
C,57,19,302,2,0.2
C,296,30,303,8,0
C,232,4,304,7,0